Date, Open, High, Low, Close
07/13/18, 24926.07, 25043.21, 24890.06, 25019.41
07/12/18, 24802.90, 24939.97, 24802.90, 24924.89
07/11/18, 24789.48, 24815.16, 24663.82, 24700.45
07/10/18, 24806.97, 24945.38, 24806.97, 24919.66
07/09/18, 24519.20, 24796.52, 24518.43, 24776.59
07/06/18, 24352.47, 24520.29, 24281.47, 24456.48
07/05/18, 24285.82, 24372.80, 24177.44, 24356.74
07/03/18, 24359.39, 24444.88, 24150.85, 24174.82
07/02/18, 24161.53, 24319.42, 24077.56, 24307.18
06/29/18, 24323.93, 24509.52, 24269.71, 24271.41
06/28/18, 24064.19, 24308.16, 23997.21, 24216.05
06/27/18, 24303.11, 24569.02, 24115.82, 24117.59
06/26/18, 24281.89, 24384.21, 24241.22, 24283.11
06/25/18, 24463.73, 24463.73, 24084.39, 24252.80
06/22/18, 24526.97, 24663.18, 24526.97, 24580.89
06/21/18, 24639.21, 24639.21, 24406.63, 24461.70
06/20/18, 24771.17, 24804.76, 24628.39, 24657.80
06/19/18, 24763.59, 24763.59, 24567.75, 24700.21
06/18/18, 24944.28, 25003.10, 24825.77, 24987.47
06/15/18, 25116.71, 25130.82, 24894.38, 25090.48
06/14/18, 25254.65, 25332.50, 25138.60, 25175.31
06/13/18, 25328.65, 25362.07, 25191.42, 25201.20
06/12/18, 25346.82, 25364.37, 25247.04, 25320.73
06/11/18, 25336.67, 25402.83, 25290.20, 25322.31
06/08/18, 25209.29, 25325.63, 25165.70, 25316.53
06/07/18, 25192.14, 25326.09, 25164.48, 25241.41
06/06/18, 24854.14, 25146.46, 24854.14, 25146.39
06/05/18, 24820.12, 24838.78, 24710.82, 24799.98
06/04/18, 24727.55, 24859.37, 24722.14, 24813.69
06/01/18, 24542.09, 24673.60, 24542.09, 24635.21
05/31/18, 24620.79, 24620.79, 24352.15, 24415.84
05/30/18, 24467.83, 24714.48, 24459.09, 24667.78
05/29/18, 24606.59, 24635.18, 24247.84, 24361.45
05/25/18, 24781.29, 24824.22, 24687.81, 24753.09
05/24/18, 24877.36, 24877.36, 24605.90, 24811.76
05/23/18, 24757.71, 24889.46, 24667.12, 24886.81
05/22/18, 25047.55, 25064.99, 24812.06, 24834.41
05/21/18, 24883.06, 25086.49, 24883.06, 25013.29
05/18/18, 24707.72, 24774.97, 24664.87, 24715.09
05/17/18, 24752.40, 24839.49, 24639.40, 24713.98
05/16/18, 24722.32, 24801.19, 24672.79, 24768.93
05/15/18, 24809.55, 24809.55, 24629.39, 24706.41
05/14/18, 24879.37, 24994.19, 24862.52, 24899.41
05/11/18, 24758.64, 24868.65, 24717.50, 24831.17
05/10/18, 24591.66, 24794.99, 24575.91, 24739.53
05/09/18, 24399.18, 24586.48, 24323.87, 24542.54
05/08/18, 24341.35, 24412.34, 24198.34, 24360.21
05/07/18, 24317.66, 24479.45, 24263.42, 24357.32
05/04/18, 23865.22, 24333.35, 23778.87, 24262.51
05/03/18, 23836.23, 23996.15, 23531.31, 23930.15
05/02/18, 24097.63, 24185.52, 23886.30, 23924.98
05/01/18, 24117.29, 24117.29, 23808.19, 24099.05
04/30/18, 24410.41, 24498.23, 24163.08, 24163.15
04/27/18, 24342.14, 24359.38, 24194.45, 24311.19
04/26/18, 24128.72, 24402.46, 24128.72, 24322.34
04/25/18, 24070.20, 24146.34, 23823.08, 24083.83
04/24/18, 24579.94, 24579.94, 23828.73, 24024.13
04/23/18, 24488.07, 24536.89, 24328.54, 24448.69
04/20/18, 24657.39, 24678.07, 24375.04, 24462.94
04/19/18, 24711.30, 24762.48, 24557.03, 24664.89
04/18/18, 24820.85, 24832.54, 24721.09, 24748.07
04/17/18, 24681.79, 24858.97, 24681.79, 24786.63
04/16/18, 24483.15, 24675.36, 24480.20, 24573.04
04/13/18, 24582.82, 24646.45, 24243.74, 24360.14
04/12/18, 24302.82, 24592.12, 24302.82, 24483.05
04/11/18, 24274.19, 24366.57, 24150.87, 24189.45
