iso,region,year,hiv,gini,cell,gdp_ppp
AFG,Southern Asia,2016,0.1,NA,62.3354168186364,1802.69556548499
AFG,Southern Asia,2015,0.1,NA,58.420528226792,1809.01648837218
AFG,Southern Asia,2014,0.1,NA,56.1913326873846,1838.96024371997
AFG,Southern Asia,2013,0.1,NA,52.9664731356239,1848.70002621394
AFG,Southern Asia,2012,0.1,NA,49.9727530004765,1839.27357927778
AFG,Southern Asia,2011,0.1,NA,46.4440581664588,1660.73985617959
AFG,Southern Asia,2010,0.1,NA,35.4677664438775,1614.25500126115
AFG,Southern Asia,2009,0.1,NA,37.4942004506374,1531.17399271735
AFG,Southern Asia,2008,0.1,NA,28.9400601911825,1298.14315888036
AFG,Southern Asia,2007,0.1,NA,17.5381616236848,1284.77521302624
AFG,Southern Asia,2006,0.1,NA,9.73360444436721,1161.12488912197
AFG,Southern Asia,2005,0.1,NA,4.78644517019363,1136.12321410151
AFG,Southern Asia,2004,0.1,NA,2.48766749206092,1062.24936045108
AFG,Southern Asia,2003,0.1,NA,0.867120277516642,1099.19450675044
AFG,Southern Asia,2002,0.1,NA,0.113740161874088,1063.63557365313
AFG,Southern Asia,2001,0.1,NA,0,NA
AFG,Southern Asia,2000,0.1,NA,0,NA
AFG,Southern Asia,1999,0.1,NA,0,NA
AFG,Southern Asia,1998,0.1,NA,0,NA
AFG,Southern Asia,1997,0.1,NA,0,NA
AFG,Southern Asia,1996,0.1,NA,0,NA
AFG,Southern Asia,1995,0.1,NA,0,NA
AFG,Southern Asia,1994,0.1,NA,0,NA
AFG,Southern Asia,1993,0.1,NA,0,NA
AFG,Southern Asia,1992,0.1,NA,0,NA
AFG,Southern Asia,1991,0.1,NA,0,NA
AFG,Southern Asia,1990,0.1,NA,0,NA
ALB,Southern Europe,2016,0.1,NA,115.152264870754,11356.3413288171
ALB,Southern Europe,2015,0.1,NA,116.337512554082,10970.4522447693
ALB,Southern Europe,2014,0.1,NA,115.02611464423,10701.1207857986
ALB,Southern Europe,2013,0.1,NA,126.2764912925,10492.8062825121
ALB,Southern Europe,2012,0.1,29,119.861412809897,10369.8233819184
ALB,Southern Europe,2011,0.1,NA,105.922828727228,10207.7646993323
ALB,Southern Europe,2010,0.1,NA,91.5609287457172,9927.18184117512
ALB,Southern Europe,2009,0.1,NA,83.1604635738118,9524.64930321377
ALB,Southern Europe,2008,0.1,30,62.1607266355601,9153.78820562203
ALB,Southern Europe,2007,0.1,NA,76.8024942566025,8754.56951284933
ALB,Southern Europe,2006,0.1,NA,62.530387178076,8204.5882455338
ALB,Southern Europe,2005,0.1,30.6,49.6964937731778,7733.006932655
ALB,Southern Europe,2004,0.1,NA,40.6614872034417,7277.21490788601
ALB,Southern Europe,2003,0.1,NA,35.3583488293976,6855.44887574892
ALB,Southern Europe,2002,0.1,31.7,27.2841323373396,6457.0500213448
ALB,Southern Europe,2001,0.1,NA,12.5752303991022,6176.37067804796
ALB,Southern Europe,2000,0.1,NA,0.954237228416673,5668.57477726735
ALB,Southern Europe,1999,0.1,NA,0.353321504594977,5280.52786659886
ALB,Southern Europe,1998,0.1,NA,0.180426379754356,4623.02640073499
ALB,Southern Europe,1997,0.1,NA,0.106691117253215,4214.35815259863
ALB,Southern Europe,1996,0.1,27,0.0743800263111258,4697.15323281589
ALB,Southern Europe,1995,0.1,NA,0,4278.68966272931
ALB,Southern Europe,1994,0.1,NA,0,3753.16990379019
ALB,Southern Europe,1993,0.1,NA,0,3444.32179181322
ALB,Southern Europe,1992,0.1,NA,0,3123.51250298198
ALB,Southern Europe,1991,0.1,NA,0,3345.50404927247
ALB,Southern Europe,1990,0.1,NA,0,4722.83816576759
DZA,Northern Africa,2016,0.1,NA,115.848053881229,13921.1800218255
DZA,Northern Africa,2015,0.1,NA,108.417322255621,13724.723852895
DZA,Northern Africa,2014,0.1,NA,110.699326339346,13483.3378622219
DZA,Northern Africa,2013,0.1,NA,103.073884200456,13253.6154761387
DZA,Northern Africa,2012,0.1,NA,99.8984609610959,13161.9616734309
DZA,Northern Africa,2011,0.1,27.6,96.7309982374042,12990.345016498
DZA,Northern Africa,2010,0.1,NA,90.7594397717658,12870.6026985154
DZA,Northern Africa,2009,0.1,NA,92.2856975291098,12647.5403044562
DZA,Northern Africa,2008,0.1,NA,77.541358517747,12660.4032440006
DZA,Northern Africa,2007,0.1,NA,80.3576091201664,12570.6547026998
DZA,Northern Africa,2006,0.1,NA,62.164742850469,12348.4812120361
DZA,Northern Africa,2005,0.1,NA,41.0393404772955,12322.4842607049
DZA,Northern Africa,2004,0.1,NA,14.8713098094563,11797.1848486236
DZA,Northern Africa,2003,0.1,NA,4.46533977765498,11459.8935602271
DZA,Northern Africa,2002,0.1,NA,1.40723035684962,10826.4876450259
DZA,Northern Africa,2001,0.1,NA,0.316534298881118,10382.1868362393
DZA,Northern Africa,2000,0.1,NA,0.275785459436128,10211.0018566908
DZA,Northern Africa,1999,0.1,NA,0.234027516370306,9968.96771197831
DZA,Northern Africa,1998,0.1,NA,0.0593359672349426,9796.73993556183
DZA,Northern Africa,1997,0.1,NA,0.0582196062956006,9461.35511679608
DZA,Northern Africa,1996,0.1,NA,0.0397804729898239,9509.68765695727
DZA,Northern Africa,1995,0.1,35.3,0.0162294202751439,9295.42011356466
DZA,Northern Africa,1994,0.1,NA,0.00475279590799786,9126.2716238864
DZA,Northern Africa,1993,0.1,NA,0.0172063464894644,9400.05442441546
DZA,Northern Africa,1992,0.1,NA,0.0175894318308159,9815.46382267098
DZA,Northern Africa,1991,0.1,NA,0.0180045972918389,9869.48837022995
DZA,Northern Africa,1990,0.1,NA,0.00181380573993877,10236.840658348
AGO,Middle Africa,2016,0.8,NA,45.121698839185,5972.451512997
AGO,Middle Africa,2015,0.8,NA,49.8380415448268,6227.664689061
AGO,Middle Africa,2014,0.9,NA,52.2002776623555,6257.15287433489
AGO,Middle Africa,2013,0.9,NA,51.1001779344374,6188.0037558835
AGO,Middle Africa,2012,0.9,NA,50.9445034397706,5999.90210602209
AGO,Middle Africa,2011,0.9,NA,49.8510873786287,5911.25409210655
AGO,Middle Africa,2010,0.9,NA,40.2384025319555,5897.68284059848
